Line;lambda;c;err_c;d;err_d;a;b;disp;ext_AGN2;ext_AGN3;
PAH;6.2;-2.20;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
[SiVII];6.50;0.0;0.0;0.0;0.0;0.83;-3.55;0.37;0.08;0.06;
H_{2};6.91;-3.97;0.39;0.0;0.0;0.80;-2.40;0.34;0.50;0.41;
[ArII];6.98;-3.96;0.32;0.0;0.0;0.84;-4.21;0.64;0.51;0.41;
[NeVI];7.65;0.0;0.0;0.0;0.0;0.79;-1.48;0.42;0.56;0.46;
PAH;7.7;-1.64;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
[ArV];7.90;0.0;0.0;0.0;0.0;0.87;-3.85;0.32;0.57;0.46;
PAH;8.6;-2.16;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
[ArIII];8.99;-4.22;0.69;0.0;0.0;0.98;-4.15;0.37;0.74;0.60;
H_{2};9.66;-3.96;0.52;0.0;0.0;1.07;-5.32;0.34;0.68;0.55;
[SIV];10.49;-3.95;0.69;0.0;0.0;0.90;-2.96;0.24;0.18;0.15;
PAH;11.25;-2.29;0.36;9.01;0.28;0.0;0.0;0.0;0.0;0.0;
[CaV];11.48;0.0;0.0;0.0;0.0;0.90;-5.12;0.34;0.006;0.005;
H_{2};12.28;-4.12;0.54;0.0;0.0;0.94;-3.88;0.24;0.78;0.63;
HI;12.37;-4.85;0.30;0.0;0.0;0.86;-3.84;0.34;0.24;0.19;
PAH;12.7;-2.20;0.33;9.75;0.28;0.0;0.0;0.0;0.0;0.0;
[NeII];12.81;-3.11;0.45;0.0;0.0;0.98;-4.06;0.37;0.79;0.64;
[ArV];13.09;0.0;0.0;0.0;0.0;0.87;-3.85;0.32;0.59;0.48;
[MgV];13.50;0.0;0.0;0.0;0.0;0.91;-4.01;0.34;0.14;0.11;
[NeV];14.32;0.0;0.0;0.0;0.0;0.78;-1.61;0.39;0.69;0.56;
[ClII];14.38;-5.44;0.33;0.0;0.0;0.85;-4.83;0.57;0.0002;0.0001;
[NeIII];15.55;-3.69;0.47;0.0;0.0;0.78;-1.44;0.31;0.36;0.29;
H_{2};17.03;-4.04;0.46;8.07;0.34;1.05;-5.10;0.42;0.87;0.70;
[FeII];17.93;-5.18;0.34;0.0;0.0;0.84;-3.80;0.54;0.21;0.17;
[SIII];18.71;-3.49;0.48;0.0;0.0;0.96;-3.75;0.31;0.89;0.72;
[ArIII];21.82;-5.40;0.70;0.0;0.0;0.98;-5.34;0.36;0.86;0.70;
[FeIII];22.90;-6.56;0.33;0.0;0.0;0.79;-4.85;0.60;0.29;0.24;
[NeV];24.31;0.0;0.0;0.0;0.0;0.69;-0.50;0.39;0.84;0.68;
[OIV];25.89;0.0;0.0;0.0;0.0;0.70;-0.04;0.42;0.93;0.76;
[FeII];25.98;-4.29;0.44;0.0;0.0;0.87;-3.71;0.55;1.00;1.00;
[SIII];33.48;-3.05;0.31;0.0;0.0;0.62;0.35;0.30;1.00;1.00;      
[SiII];34.82;-2.91;0.28;0.0;0.0;0.89;-3.14;0.52;1.00;1.00;          
[OIII];51.81;-2.84;0.44;0.0;0.0;0.92;-2.47;0.32;1.00;1.00;     
[NIII];57.32;-3.26;0.16;0.0;0.0;0.0;0.0;0.0;1.00;1.00;
[OI];63.18;-2.93;0.30;9.01;0.30;0.86;-2.99;0.62;1.00;1.00;
[OIII];88.36;-2.92;0.48;0.0;0.0;0.91;-3.34;0.32;1.00;1.00;         
[NII];121.90;-3.49;0.36;0.0;0.0;0.0;0.0;0.0;1.00;1.00;         
[OI];145.52;-3.80;0.43;0.0;0.0;0.88;-4.32;0.63;1.00;1.00;      
[CII];157.70;-2.78;0.40;8.87;0.27;0.90;-4.42;0.57;1.00;1.00;
[NII];205.18;-4.09;0.37;0.0;0.0;0.0;0.0;0.0;1.00;1.00;
[CI];370.42;-4.88;0.24;0.0;0.0;0.0;0.0;0.0;1.00;1.00;
[CI];609.14;-5.14;0.33;0.0;0.0;0.0;0.0;0.0;1.00;1.00;
CO(13-12);200.0;-5.26;0.32;� � 0.0 � �;0.0;0.0;0.0;� 0.0;� 0.0 �;� 0.0;�
CO(12-11);217.0;-5.33;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(11-10);237.0;-5.23;0.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(10-9);260.2;-5.16;0.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(9-8);289.1;-5.18;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(8-7);325.2;-5.12;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(7-6);371.7;-5.12;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(6-5);433.6;-5.02;0.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(5-4);520.2;-5.02;0.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
CO(4-3);650.3;-5.09;0.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
PAH;3.3;-3.11;0.30;8.54;0.23;0.0;0.0;0.0;0.0;0.0;
